operator,accidents,category
"Hageland Aviation Services, opf Ravn Connect",1,Unknown
Halsted Aviation Corporation,1,Unknown
Harbour Air,2,Commercial
Haugland Group Aviation LLC,1,Unknown
Hawaiian Airlines,2,Commercial
Heidi Aviation,1,Unknown
Heilongjiang Kunpeng General Aviation,1,Unknown
Helidosa Aviation Group,1,Unknown
Helifix Operation,1,Unknown
Henning Aviation,1,Unknown
Hesnes Air,1,Commercial
Hog Air Aviation,1,Commercial
Honduras AF,1,Unknown
Horizon Air,1,Commercial
"Horizon Air, opf Alaska Airlines",1,Commercial
Hornbill Skyways,1,Unknown
IHC Health Services,1,Unknown
INEOS Aviation,1,Unknown
ISR Aviation,1,Unknown
ITA Airways,1,Commercial
Icelandair,1,Commercial
Icon Aviation,2,Unknown
Impuma Group,1,Unknown
IndiGo Airlines,1,Commercial
Indian AF,1,Unknown
Indian Coast Guard,1,Unknown
International Air Response,1,Commercial
Inversiones Moraima,1,Unknown
Inversiones SC 2012,1,Unknown
Iran AF,1,Unknown
"Iran AF, op.for Saha Air",1,Commercial
Iran Air,2,Commercial
Iran Aseman Airlines,1,Commercial
Iraqi AF,1,Unknown
"Irish Parachute Club, lsf Parachuting Caravan Leasing",1,Unknown
Island Airways,1,Commercial
Island Express Air,1,Commercial
JL&GL Productions LP,1,Unknown
JRM Air LLC,1,Commercial
Jags Aviation,2,Unknown
Japan Ground Self-Defense Force,1,Unknown
Jet It LLC,1,Private
Jet Sales LLC,1,Private
Jet2,2,Private
JetBlue Airways,1,Private
Jetleg Management,1,Private
Jetport,1,Private
Jett Aircraft,1,Private
Jhonlin Air Transport,1,Commercial
Jota Aviation,1,Unknown
Ju-Air,1,Commercial
Jubba Airways,1,Commercial
KAAZ,1,Unknown
KLM,3,Unknown
Kalitta Air,2,Commercial
Kalitta Charters,2,Private
Kam Aviation LLC,1,Unknown
Kamaka Air,1,Commercial
Kamchatka Aviation Enterprise,1,Unknown
Kamchatsky Krechet,1,Unknown
Kapowsin Air Sports,1,Commercial
"Kapowsin Air Sports, opf Skydive San Diego",1,Commercial
Kazairtrans Airline,1,Commercial
Kazakhstan Air Defence Force,1,Commercial
Kazakhstan Border Guards,1,Unknown
Keewatin Air,2,Commercial
Kenya Airways,2,Commercial
Kenyan AF,2,Unknown
Key Lime Air,2,Commercial
Khabarovsk Avia,1,Unknown
Kharkiv Aeroclub,1,Unknown
Kin Avia,1,Unknown
Korean Air,4,Commercial
"L.C. Whitford Co., Inc.",1,Unknown
L3 Technologies,1,Unknown
L39 Engineering,1,Unknown
LANHSA,1,Unknown
LASER,1,Unknown
LATAM Airlines Brasil,1,Commercial
LATAM Perú,1,Unknown
"LBK Serviço Aéreo Especializado, opf Skydive4Fun",1,Unknown
LC Perú,1,Unknown
LPS Flight Checks & Systems,1,Unknown
Lake & Peninsula Airlines,1,Commercial
Lake Clark Air,1,Commercial
Lake Clark Air Services,1,Commercial
Las Vegas Sands Corporation,1,Unknown
LaudaMotion,1,Unknown
Lauren Engineers & Constructors,1,Unknown
Legacy Air LLC,1,Commercial
Lenox Handels und Speditions,1,Unknown
Liaoning Star General Aviation,1,Unknown
Libyan Air Cargo,1,Cargo
Libyan Air Force,2,Military
Libyan Airlines,1,Commercial
Libyan National Army,1,Unknown
